activation,n_positive,n_negative,lower_lr,upper_lr,total_loss
sigmoid,1,1,-4,-1,0.500732421875
sigmoid,1,1,-4,0,0.496083984375
sigmoid,4,1,-4,-4,0.48974609375
sigmoid,4,1,-4,-3,0.4995849609375
sigmoid,4,1,-4,-2,0.4994140625
sigmoid,4,1,-4,-1,0.5039697265625
sigmoid,4,1,-4,0,0.4912451171875
sigmoid,7,1,-4,-4,0.505078125
sigmoid,7,1,-4,-3,0.5029296875
sigmoid,7,1,-4,-2,0.49580078125
sigmoid,7,1,-4,-1,0.49287109375
sigmoid,7,1,-4,0,0.48720703125
sigmoid,1,4,-4,-4,0.50693359375
sigmoid,1,4,-4,-3,0.5089404296875
sigmoid,1,4,-4,-2,0.486435546875
sigmoid,1,4,-4,-1,0.4843798828125
sigmoid,1,4,-4,0,0.4921142578125
sigmoid,4,4,-4,-4,0.500634765625
sigmoid,4,4,-4,-3,0.5012890625
sigmoid,4,4,-4,-2,0.475078125
sigmoid,4,4,-4,-1,0.470517578125
sigmoid,4,4,-4,0,0.335810546875
sigmoid,7,4,-4,-4,0.49541015625
sigmoid,7,4,-4,-3,0.486630859375
sigmoid,7,4,-4,-2,0.4915380859375
sigmoid,7,4,-4,-1,0.485322265625
sigmoid,7,4,-4,0,0.45216796875
sigmoid,1,7,-4,-4,0.51123046875
sigmoid,1,7,-4,-3,0.503759765625
sigmoid,1,7,-4,-2,0.49345703125
sigmoid,1,7,-4,-1,0.484423828125
sigmoid,1,7,-4,0,0.495029296875
sigmoid,4,7,-4,-4,0.4931103515625
sigmoid,4,7,-4,-3,0.492236328125
sigmoid,4,7,-4,-2,0.495283203125
sigmoid,4,7,-4,-1,0.49224609375
sigmoid,4,7,-4,0,0.3888427734375
sigmoid,7,7,-4,-4,0.5050390625
sigmoid,7,7,-4,-3,0.50791015625
sigmoid,7,7,-4,-2,0.491513671875
sigmoid,7,7,-4,-1,0.467099609375
sigmoid,7,7,-4,0,0.3663134765625
sigmoid,1,1,-3,-3,0.4912158203125
sigmoid,1,1,-3,-2,0.49310546875
sigmoid,1,1,-3,-1,0.4809521484375
sigmoid,1,1,-3,0,0.4946826171875
sigmoid,4,1,-3,-3,0.5151318359375
sigmoid,4,1,-3,-2,0.505537109375
sigmoid,4,1,-3,-1,0.48654296875
sigmoid,4,1,-3,0,0.4856494140625
sigmoid,7,1,-3,-3,0.49677734375
sigmoid,7,1,-3,-2,0.5059375
sigmoid,7,1,-3,-1,0.504189453125
sigmoid,7,1,-3,0,0.4976318359375
sigmoid,1,4,-3,-3,0.5015869140625
sigmoid,1,4,-3,-2,0.49439453125
sigmoid,1,4,-3,-1,0.489873046875
sigmoid,1,4,-3,0,0.45791015625
sigmoid,4,4,-3,-3,0.4988623046875
sigmoid,4,4,-3,-2,0.494375
sigmoid,4,4,-3,-1,0.435009765625
sigmoid,4,4,-3,0,0.320673828125
sigmoid,7,4,-3,-3,0.4856201171875
sigmoid,7,4,-3,-2,0.4777734375
sigmoid,7,4,-3,-1,0.48201171875
sigmoid,7,4,-3,0,0.3648486328125
sigmoid,1,7,-3,-3,0.509033203125
sigmoid,1,7,-3,-2,0.5005908203125
sigmoid,1,7,-3,-1,0.497744140625
sigmoid,1,7,-3,0,0.5028955078125
sigmoid,4,7,-3,-3,0.5145556640625
sigmoid,4,7,-3,-2,0.4935693359375
sigmoid,4,7,-3,-1,0.4728076171875
sigmoid,4,7,-3,0,0.3861328125
sigmoid,7,7,-3,-3,0.4978564453125
sigmoid,7,7,-3,-2,0.482431640625
sigmoid,7,7,-3,-1,0.451513671875
sigmoid,7,7,-3,0,0.343388671875
sigmoid,1,1,-2,-2,0.43908203125
sigmoid,1,1,-2,-1,0.4387548828125
sigmoid,1,1,-2,0,0.462529296875
sigmoid,4,1,-2,-2,0.4755615234375
sigmoid,4,1,-2,-1,0.4893359375
sigmoid,4,1,-2,0,0.480947265625
sigmoid,7,1,-2,-2,0.5119921875
sigmoid,7,1,-2,-1,0.491142578125
sigmoid,7,1,-2,0,0.483154296875
sigmoid,1,4,-2,-2,0.497626953125
sigmoid,1,4,-2,-1,0.4932568359375
sigmoid,1,4,-2,0,0.4858837890625
sigmoid,4,4,-2,-2,0.439833984375
sigmoid,4,4,-2,-1,0.42
sigmoid,4,4,-2,0,0.3128564453125
sigmoid,7,4,-2,-2,0.4866748046875
sigmoid,7,4,-2,-1,0.4245166015625
sigmoid,7,4,-2,0,0.3141796875
sigmoid,1,7,-2,-2,0.493603515625
sigmoid,1,7,-2,-1,0.49697265625
sigmoid,1,7,-2,0,0.499150390625
sigmoid,4,7,-2,-2,0.482294921875
sigmoid,4,7,-2,-1,0.436494140625
sigmoid,4,7,-2,0,0.37123046875
sigmoid,7,7,-2,-2,0.444765625
sigmoid,7,7,-2,-1,0.4330224609375
sigmoid,7,7,-2,0,0.291513671875
sigmoid,1,1,-1,-1,0.25599609375
sigmoid,1,1,-1,0,0.24791015625
sigmoid,4,1,-1,-1,0.4060302734375
sigmoid,4,1,-1,0,0.38869140625
sigmoid,7,1,-1,-1,0.4784716796875
sigmoid,7,1,-1,0,0.4701416015625
sigmoid,1,4,-1,-1,0.4325927734375
sigmoid,1,4,-1,0,0.3852978515625
sigmoid,4,4,-1,-1,0.39046875
sigmoid,4,4,-1,0,0.2212158203125
sigmoid,7,4,-1,-1,0.3572314453125
sigmoid,7,4,-1,0,0.30576171875
sigmoid,1,7,-1,-1,0.4852197265625
sigmoid,1,7,-1,0,0.4744873046875
sigmoid,4,7,-1,-1,0.360498046875
sigmoid,4,7,-1,0,0.2823681640625
sigmoid,7,7,-1,-1,0.3414404296875
sigmoid,7,7,-1,0,0.2381982421875
sigmoid,1,1,0,0,0.234208984375
sigmoid,4,1,0,0,0.3105908203125
sigmoid,7,1,0,0,0.401123046875
sigmoid,1,4,0,0,0.2924951171875
sigmoid,4,4,0,0,0.197197265625
sigmoid,7,4,0,0,0.2008251953125
sigmoid,1,7,0,0,0.3929345703125
sigmoid,4,7,0,0,0.241806640625
sigmoid,7,7,0,0,0.1884326171875
relu,1,1,-6,-6,0.61587890625
relu,1,1,-6,-5,0.64310546875
relu,1,1,-6,-4,0.700966796875
relu,1,1,-6,-3,0.6184912109375
relu,1,1,-6,-2,0.5846728515625
relu,1,1,-6,-1,0.730107421875
relu,1,1,-6,0,0.6018310546875
relu,4,1,-6,-6,0.5430322265625
relu,4,1,-6,-5,0.5289013671875
relu,4,1,-6,-4,0.5258984375
relu,4,1,-6,-3,0.54951171875
relu,4,1,-6,-2,0.5432666015625
relu,4,1,-6,-1,0.433583984375
relu,4,1,-6,0,0.48861328125
relu,7,1,-6,-6,0.4975634765625
relu,7,1,-6,-5,0.521044921875
relu,7,1,-6,-4,0.49447265625
relu,7,1,-6,-3,0.497734375
relu,7,1,-6,-2,0.517607421875
relu,7,1,-6,-1,0.483232421875
relu,7,1,-6,0,0.494814453125
relu,1,4,-6,-6,0.5088720703125
relu,1,4,-6,-5,0.5141259765625
relu,1,4,-6,-4,0.529423828125
relu,1,4,-6,-3,0.5365283203125
relu,1,4,-6,-2,0.6276025390625
relu,1,4,-6,-1,0.5412548828125
relu,1,4,-6,0,0.5486767578125
relu,4,4,-6,-6,0.49587890625
relu,4,4,-6,-5,0.4853076171875
relu,4,4,-6,-4,0.5206201171875
relu,4,4,-6,-3,0.5003759765625
relu,4,4,-6,-2,0.4982763671875
relu,4,4,-6,-1,0.4540185546875
relu,4,4,-6,0,0.3732958984375
relu,7,4,-6,-6,0.499765625
relu,7,4,-6,-5,0.5005224609375
relu,7,4,-6,-4,0.5152978515625
relu,7,4,-6,-3,0.4980029296875
relu,7,4,-6,-2,0.48779296875
relu,7,4,-6,-1,0.435966796875
relu,7,4,-6,0,0.41427734375
relu,1,7,-6,-6,0.506689453125
relu,1,7,-6,-5,0.510517578125
relu,1,7,-6,-4,0.518251953125
relu,1,7,-6,-3,0.515478515625
relu,1,7,-6,-2,0.5134521484375
relu,1,7,-6,-1,0.4914501953125
relu,1,7,-6,0,0.505947265625
relu,4,7,-6,-6,0.4965234375
relu,4,7,-6,-5,0.485400390625
relu,4,7,-6,-4,0.4956103515625
relu,4,7,-6,-3,0.5087841796875
relu,4,7,-6,-2,0.4929736328125
relu,4,7,-6,-1,0.437373046875
relu,4,7,-6,0,0.404345703125
relu,7,7,-6,-6,0.5118896484375
relu,7,7,-6,-5,0.5051806640625
relu,7,7,-6,-4,0.4892822265625
relu,7,7,-6,-3,0.4992919921875
relu,7,7,-6,-2,0.495947265625
relu,7,7,-6,-1,0.44375
relu,7,7,-6,0,0.3645703125
relu,1,1,-5,-5,0.6774560546875
relu,1,1,-5,-4,0.662802734375
relu,1,1,-5,-3,0.5511865234375
relu,1,1,-5,-2,0.7034765625
relu,1,1,-5,-1,0.626142578125
relu,1,1,-5,0,0.570107421875
relu,4,1,-5,-5,0.5301708984375
relu,4,1,-5,-4,0.5183447265625
relu,4,1,-5,-3,0.6023291015625
relu,4,1,-5,-2,0.5166552734375
relu,4,1,-5,-1,0.5335986328125
relu,4,1,-5,0,0.524130859375
relu,7,1,-5,-5,0.514443359375
relu,7,1,-5,-4,0.5123583984375
relu,7,1,-5,-3,0.5148974609375
relu,7,1,-5,-2,0.49328125
relu,7,1,-5,-1,0.467626953125
relu,7,1,-5,0,0.5046533203125
relu,1,4,-5,-5,0.5564697265625
relu,1,4,-5,-4,0.505078125
relu,1,4,-5,-3,0.5461083984375
relu,1,4,-5,-2,0.5208203125
relu,1,4,-5,-1,0.53005859375
relu,1,4,-5,0,0.4928515625
relu,4,4,-5,-5,0.512900390625
relu,4,4,-5,-4,0.4939404296875
relu,4,4,-5,-3,0.502392578125
relu,4,4,-5,-2,0.5152392578125
relu,4,4,-5,-1,0.4370654296875
relu,4,4,-5,0,0.37798828125
relu,7,4,-5,-5,0.4885302734375
relu,7,4,-5,-4,0.4926904296875
relu,7,4,-5,-3,0.4936328125
relu,7,4,-5,-2,0.478310546875
relu,7,4,-5,-1,0.4261572265625
relu,7,4,-5,0,0.433369140625
relu,1,7,-5,-5,0.5146240234375
relu,1,7,-5,-4,0.5164208984375
relu,1,7,-5,-3,0.5108642578125
relu,1,7,-5,-2,0.5188916015625
relu,1,7,-5,-1,0.4735009765625
relu,1,7,-5,0,0.4554296875
relu,4,7,-5,-5,0.49583984375
relu,4,7,-5,-4,0.5005859375
relu,4,7,-5,-3,0.50013671875
relu,4,7,-5,-2,0.4903076171875
relu,4,7,-5,-1,0.4323828125
relu,4,7,-5,0,0.4061376953125
relu,7,7,-5,-5,0.4939013671875
relu,7,7,-5,-4,0.4860302734375
relu,7,7,-5,-3,0.48291015625
relu,7,7,-5,-2,0.4731103515625
relu,7,7,-5,-1,0.4269140625
relu,7,7,-5,0,0.35296875
relu,1,1,-4,-4,0.8593798828125
relu,1,1,-4,-3,0.7589453125
relu,1,1,-4,-2,0.839755859375
relu,1,1,-4,-1,0.7679736328125
relu,1,1,-4,0,0.7298291015625
relu,4,1,-4,-4,0.5832958984375
relu,4,1,-4,-3,0.6072705078125
relu,4,1,-4,-2,0.5041845703125
relu,4,1,-4,-1,0.503046875
relu,4,1,-4,0,0.5121484375
relu,7,1,-4,-4,0.5040966796875
relu,7,1,-4,-3,0.5302978515625
relu,7,1,-4,-2,0.4835791015625
relu,7,1,-4,-1,0.5715283203125
relu,7,1,-4,0,0.4766064453125
relu,1,4,-4,-4,0.5240478515625
relu,1,4,-4,-3,0.607119140625
relu,1,4,-4,-2,0.577802734375
relu,1,4,-4,-1,0.5548193359375
relu,1,4,-4,0,0.5365673828125
relu,4,4,-4,-4,0.501337890625
relu,4,4,-4,-3,0.5217041015625
relu,4,4,-4,-2,0.520322265625
relu,4,4,-4,-1,0.399599609375
relu,4,4,-4,0,0.4141455078125
relu,7,4,-4,-4,0.4967041015625
relu,7,4,-4,-3,0.5059326171875
relu,7,4,-4,-2,0.4925537109375
relu,7,4,-4,-1,0.4103076171875
relu,7,4,-4,0,0.3683837890625
relu,1,7,-4,-4,0.50748046875
relu,1,7,-4,-3,0.525537109375
relu,1,7,-4,-2,0.5209228515625
