activation,n_positive,n_negative,lower_lr,upper_lr,total_loss
linear,1,7,-4,-3,0.4969677734375
linear,1,7,-4,-2,0.4307568359375
linear,1,7,-4,-1,0.3621826171875
linear,1,7,-4,0,0.33720703125
linear,4,7,-4,-4,0.51537109375
linear,4,7,-4,-3,0.4812890625
linear,4,7,-4,-2,0.4311669921875
linear,4,7,-4,-1,0.363037109375
linear,4,7,-4,0,0.35158203125
linear,7,7,-4,-4,0.4770458984375
linear,7,7,-4,-3,0.48216796875
linear,7,7,-4,-2,0.4334912109375
linear,7,7,-4,-1,0.3587060546875
linear,7,7,-4,0,0.354833984375
linear,1,1,-3,-3,0.406015625
linear,1,1,-3,-2,0.41509765625
linear,1,1,-3,-1,0.3994921875
linear,1,1,-3,0,0.3791357421875
linear,4,1,-3,-3,0.44234375
linear,4,1,-3,-2,0.3569384765625
linear,4,1,-3,-1,0.277900390625
linear,4,1,-3,0,0.3314990234375
linear,7,1,-3,-3,0.4519970703125
linear,7,1,-3,-2,0.3686865234375
linear,7,1,-3,-1,0.2839453125
linear,7,1,-3,0,0.3082763671875
linear,1,4,-3,-3,0.4329443359375
linear,1,4,-3,-2,0.3540576171875
linear,1,4,-3,-1,0.2716455078125
linear,1,4,-3,0,0.332841796875
linear,4,4,-3,-3,0.461416015625
linear,4,4,-3,-2,0.3612109375
linear,4,4,-3,-1,0.2762353515625
linear,4,4,-3,0,0.3342822265625
linear,7,4,-3,-3,0.4438037109375
linear,7,4,-3,-2,0.3704052734375
linear,7,4,-3,-1,0.2915087890625
linear,7,4,-3,0,0.3164111328125
linear,1,7,-3,-3,0.4558935546875
linear,1,7,-3,-2,0.3605224609375
linear,1,7,-3,-1,0.2840869140625
linear,1,7,-3,0,0.3119775390625
linear,4,7,-3,-3,0.466669921875
linear,4,7,-3,-2,0.3688330078125
linear,4,7,-3,-1,0.3094775390625
linear,4,7,-3,0,0.3267529296875
linear,7,7,-3,-3,0.4762451171875
linear,7,7,-3,-2,0.37982421875
linear,7,7,-3,-1,0.2945751953125
linear,7,7,-3,0,0.3138623046875
linear,1,1,-2,-2,0.2039453125
linear,1,1,-2,-1,0.194287109375
linear,1,1,-2,0,0.2090185546875
linear,4,1,-2,-2,0.23283203125
linear,4,1,-2,-1,0.2015771484375
linear,4,1,-2,0,0.2929150390625
linear,7,1,-2,-2,0.2526025390625
linear,7,1,-2,-1,0.2052001953125
linear,7,1,-2,0,0.2446484375
linear,1,4,-2,-2,0.245673828125
linear,1,4,-2,-1,0.2040283203125
linear,1,4,-2,0,0.3067236328125
linear,4,4,-2,-2,0.262021484375
linear,4,4,-2,-1,0.209423828125
linear,4,4,-2,0,0.285009765625
linear,7,4,-2,-2,0.25931640625
linear,7,4,-2,-1,0.2099169921875
linear,7,4,-2,0,0.292978515625
linear,1,7,-2,-2,0.2607958984375
linear,1,7,-2,-1,0.213291015625
linear,1,7,-2,0,0.258330078125
linear,4,7,-2,-2,0.2564794921875
linear,4,7,-2,-1,0.20267578125
linear,4,7,-2,0,0.300732421875
linear,7,7,-2,-2,0.295
linear,7,7,-2,-1,0.21578125
linear,7,7,-2,0,0.2671337890625
linear,1,1,-1,-1,0.1127587890625
linear,1,1,-1,0,0.1198779296875
linear,4,1,-1,-1,0.166796875
linear,4,1,-1,0,0.2653271484375
linear,7,1,-1,-1,0.1869775390625
linear,7,1,-1,0,0.288701171875
linear,1,4,-1,-1,0.1683056640625
linear,1,4,-1,0,0.2554736328125
linear,4,4,-1,-1,0.1828955078125
linear,4,4,-1,0,0.3098779296875
linear,7,4,-1,-1,0.1922412109375
linear,7,4,-1,0,0.29705078125
linear,1,7,-1,-1,0.1860205078125
linear,1,7,-1,0,0.2683251953125
linear,4,7,-1,-1,0.1993310546875
linear,4,7,-1,0,0.295771484375
linear,7,7,-1,-1,0.213837890625
linear,7,7,-1,0,0.3082470703125
linear,1,1,0,0,0.1541796875
linear,4,1,0,0,0.343603515625
linear,7,1,0,0,0.391357421875
linear,1,4,0,0,0.3347021484375
linear,4,4,0,0,0.409482421875
linear,7,4,0,0,0.4128125
linear,1,7,0,0,0.4011669921875
linear,4,7,0,0,0.3904833984375
linear,7,7,0,0,0.418544921875
